split,controller,runs,mean_regret,tracking_rmse,mean_cost,mean_compute_us,mean_recovery_steps,mean_recovery_steps_observed_runs,recovery_fraction,recall_regret,recall_regret_observed_runs,reacquisition_regret,effect_discrimination,mean_node_homogeneity,mean_temporal_action_cosine,external_pass,hard_violations,recovery_censored,recovery_events
development,dual_pole,10,0.0036724399955862927,0.112981545623083,12.023002933099228,375.88750833333336,0.9800000000000001,10,1.0,0.01339737226961502,5,0.00010144995862335154,0.46561909212748953,0.9693375384455472,0.9791400127648556,0.9,0.0,0,50
development,signed_intensity,10,0.003672439995586295,0.11298154562308302,12.023002933099228,467.070575,0.9800000000000001,10,1.0,0.013397372269615033,5,0.00010144995862335154,0.4656190921274894,0.9693375384455472,0.9791400127648556,0.9,0.0,0,50
development,recurrent,10,0.003984005335327058,0.11366376969203103,12.013375798149408,386.920959375,1.46,10,1.0,0.012232545509376636,5,0.0001014785457806734,0.46565564003562676,0.9696603814644982,0.9679156508948982,1.0,0.0,0,50
development,no_memory,10,0.01724621448783773,0.17087813764967233,11.08317558843964,247.553340625,1.0699999999999998,10,0.9000000000000001,0.1696312416133265,5,0.006755400477101001,0.4254488062052455,0.9717287663910534,0.9768190858855613,0.5,0.0,5,50
development,no_workspace,10,0.019868890698405892,0.15227259204153212,12.025567603514308,379.8991666666667,0.96,10,0.7,0.01339737226961502,5,0.00010144995862335154,0.46601298081740106,0.9678489594315313,0.9853459827170337,0.4,0.0,15,50
development,no_self_model,10,0.005077319545122839,0.11460689007124714,11.998350948037483,329.9873677083333,0.5999999999999999,10,1.0,0.01137496956556484,5,0.00010079848020292138,0.4722093941966385,0.9708095855342096,0.9789443040645189,1.0,0.0,0,50
development,memory_erase,10,0.01724621448783773,0.17087813764967233,11.08317558843964,325.6286489583334,1.0699999999999998,10,0.9000000000000001,0.1696312416133265,5,0.006755400477101001,0.4254488062052455,0.9717287663910534,0.9768190858855613,0.5,0.0,5,50
development,memory_shuffle,10,0.007716405845218347,0.1324212997911816,12.025129409908281,380.80820833333325,1.045,10,0.9600000000000002,0.05886965780450272,5,0.001698982436098446,0.4515426140610191,0.9695641255316637,0.9784145775966083,0.7,0.0,2,50
development,workspace_shuffle,10,0.029902831429687648,0.17222036239501337,11.525009391206762,371.94094479166665,2.085,10,0.82,0.013390062556308428,5,0.00015675587930632026,0.44755741756456313,0.9680858303719635,0.8625572497014348,0.4,0.0,9,50
development,self_model_reset,10,0.0038206685697199745,0.11342171273294177,12.004629072127992,377.5188875,0.9800000000000001,10,1.0,0.01339737226961502,5,0.00010144995862335154,0.4657644950000848,0.9696581426259112,0.979141647806989,0.9,0.0,0,50
development,zero,10,0.18185112868732728,0.439409554215091,0.0,13.954293750000001,,0,0.0,0.17355788200223415,5,0.17353984148295287,7.924904503141803e-06,1.0,,0.0,0.0,50,50
development,uniform,10,0.08888999978266782,0.31714100768235315,12.404999999999998,22.945461458333334,,0,0.0,0.0900093888678315,5,0.08870567128183979,-0.009297042895511082,0.9999788168312396,0.9998897737605595,0.0,0.0,50,50
development,disconnected,10,0.10989646115054692,0.3488416956220542,12.568038034029206,15.550545833333334,,0,0.0,0.11476547563718498,5,0.11477573830072454,-0.005157814226552657,0.9911779662364957,0.9998857093664075,0.0,0.0,50,50
heldout,dual_pole,60,0.0040142188924196295,0.10719800301144751,12.042017006598341,383.13310746527776,1.143333333333333,60,1.0,0.012782944094989906,30,9.798622855688001e-05,0.44139587378636846,0.9695255541285692,0.9790632337485101,0.9666666666666667,0.0,0,300
heldout,signed_intensity,60,0.0040142188924196295,0.10719800301144751,12.042017006598341,508.1087274305555,1.143333333333333,60,1.0,0.012782944094989902,30,9.798622855688001e-05,0.44139587378636846,0.9695255541285692,0.9790632337485101,0.9666666666666667,0.0,0,300
heldout,recurrent,60,0.004579341375632479,0.1088042613602652,12.006141628273063,372.2400796875,1.5966666666666667,60,1.0,0.01147746632462303,30,9.782373231030329e-05,0.4414000143638085,0.9703367744527337,0.9668309147517411,1.0,0.0,0,300
heldout,no_memory,60,0.017070602158915083,0.16387449088519251,11.091463089305806,263.37243888888895,1.2916666666666667,60,0.8999999999999998,0.1624101642211518,30,0.007149912563685213,0.40307183353720016,0.971739511122678,0.9768349783715246,0.5,0.0,30,300
